,Column,Row,Colony_size,Colony_circularity,Strain,Near_missing_grid,Grid,Reference_surface,Colony_size_corr,Colony_size_corr_checked,Data_path,Image_path,Condition,Layout_path,Processing_date,Notes,Plate
25,1,26,1172.0,0.93661992633015,JB1206,False,,979.3288285868884,1.196737975835067,1.196737975835067,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
26,1,27,1580.0,0.9255102358174948,JB848,False,,989.7614270626111,1.5963442874199332,1.5963442874199332,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
27,1,28,1344.0,0.9226484073692668,JB874,False,,1018.8133120070283,1.3191818208110813,1.3191818208110813,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
28,1,29,1073.0,0.9366383133106,grid,False,1073.0,1073.0,1.0,1.0,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
29,1,30,965.0,0.9373674065879738,JB852,False,,,,,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
30,1,31,1374.0,0.9351281515121798,JB846,False,,,,,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
31,1,32,2114.0,0.9344311309894808,JB869,False,,,,,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
32,2,1,1754.0,0.934978108034102,JB1171,False,,1368.4810096894216,1.281713072801845,1.281713072801845,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
33,2,2,1162.0,0.9373655571562131,JB842,False,,1215.0233528140022,0.9563602191750473,0.9563602191750473,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
34,2,3,1015.0,0.9386705092298144,extragrid,False,,1095.1563806726772,0.9268082786282605,0.9268082786282605,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
35,2,4,1520.0,0.9302132063200592,JB899,False,,1010.7543877671017,1.5038272585270624,1.5038272585270624,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
36,2,5,921.0,0.9367349668813716,JB939,False,,988.6442880066384,0.9315787398690921,0.9315787398690921,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
37,2,6,1169.0,0.9170073511646566,JB4,False,,951.3909643705497,1.228727246504199,1.228727246504199,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
38,2,7,852.0,0.9470465122474748,extragrid,False,,929.2964363061874,0.9168226270043291,0.9168226270043291,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
39,2,8,1017.0,0.9405201062923362,JB840,False,,923.1109598248099,1.101709376512016,1.101709376512016,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
40,2,9,1113.0,0.927319083819198,JB841,False,,923.8408262211832,1.2047529925177056,1.2047529925177056,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
41,2,10,614.0,0.9559446571055032,JB870,False,,916.5177986903853,0.6699269789166629,0.6699269789166629,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
42,2,11,834.0,0.9373382827345412,extragrid,False,,903.7814706467934,0.9227894431196358,0.9227894431196358,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
43,2,12,1101.0,0.9425823649897046,JB875,False,,890.321695473652,1.2366316642595876,1.2366316642595876,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
44,2,13,965.0,0.9373674065879736,JB1171,False,,885.1870589639107,1.0901650563322836,1.0901650563322836,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
45,2,14,449.0,0.9513432047723496,JB930,False,,871.9603321746944,0.5149316814449356,0.5149316814449356,pyphe_quant/p1.jpg.csv,images/p1.jpg,ammonium,Layout.csv,24.5.2020,,p1_ammonium
