,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32
initial biomass,7074.859778391597,3607.6300731937868,4360.159036489436,7075.325161907976,6198.008129028164,6056.0717501300505,6992.193194370163,4809.051683652413,7214.309468301013,5032.852968854178,2690.336628885292,4479.25704074381,5871.828457997221,4646.18094450998,3968.127120775851,5621.939006352255,6996.90264498939,6470.277146394897,5433.785603805981,5200.630004225067,6858.296150109537,4225.495234076018,4126.084634482896,8536.075382515066,6557.470064108672,6836.179036147522,6145.002443505,6353.059498120703,6504.451021220583,4199.735376702544,5631.9535346223465,5890.662214569888
lag,5.0056972744444455,5.3632550375,5.720820565833334,5.3632550375,5.3632550375,6.0783475294444465,6.7933625736111125,6.435824887222222,5.3632550375,4.648176249444445,3.9331011188888887,5.0056972744444455,4.648176249444445,6.435824887222222,3.9331011188888887,5.0056972744444455,5.3632550375,5.720820565833334,6.0783475294444465,5.720820565833334,5.3632550375,4.648176249444445,6.435824887222222,5.3632550375,5.0056972744444455,6.0783475294444465,5.3632550375,5.3632550375,4.648176249444445,6.435824887222222,5.720820565833334,5.3632550375
t_max,15.910511840694445,13.407750091388888,13.765273545555557,15.195430311875,11.262646918055557,13.765273545555557,14.837889865833334,14.122803726944445,12.335190503055555,11.262646918055557,9.474990026180556,13.050222638402776,12.335190503055555,13.407750091388888,11.262646918055557,11.620166851111113,12.335190503055555,11.620166851111113,13.050222638402776,11.620166851111113,11.977677731180556,11.262646918055557,13.407750091388888,10.547593299375002,10.905123709513889,13.765273545555557,12.335190503055555,12.335190503055555,11.977677731180556,12.692707312847219,13.050222638402776,11.620166851111113
max_slope,5894.851857450046,4566.990596590272,4683.311498650035,8309.566870174607,5106.708813638968,4815.339335574547,6575.646444826038,4385.613779976352,5727.558609673571,4501.046811262408,2340.813413839716,5003.272065008457,5638.866910582268,4839.760738613498,4999.492160228607,4886.871502426089,5745.236896442147,5691.050321535506,4936.26574596201,2878.116971732706,5634.715986286868,5237.481748675316,4317.212049653754,6811.098482137898,5714.369412495296,5360.758875306342,5698.446815685878,5727.923602821376,6055.7716083913765,4240.8905720024995,5731.552122090007,5428.602062687098
r2,0.9987858376749732,0.998212797984864,0.9997337334083815,0.9998623874452355,0.9994376157291265,0.9992963325856415,0.9994820239465474,0.9993647320244001,0.9996523706138992,0.9995421398680778,0.9987200755118851,0.9994680918754553,0.9999048002704912,0.9992894094802306,0.9996343359513821,0.9990161542465967,0.9990305159498728,0.9992835066901002,0.9991572901215414,0.9998626048793694,0.9995771690781998,0.9994800069533354,0.9990222797232706,0.999998961642427,0.9997732593781425,0.9985915355075672,0.9996972109611285,0.9991007897103484,0.9986642541208497,0.9997469094088604,0.999164051285295,0.999682581784259
y-intercept,-30893.761056879826,-28989.633851064813,-27465.601744573483,-52583.55718564414,-23077.756885527488,-24405.134520268133,-43875.825029417276,-27160.27102996924,-25687.626172756834,-16208.419412341842,-6214.827109820799,-24404.348621354475,-24839.116523895696,-31219.270191087773,-23349.35148316961,-21673.429190368413,-23877.733854806895,-27120.64902978143,-27138.75270928228,-9483.772663215728,-23147.28612176547,-24663.524218057748,-27586.265051549497,-25952.803261728564,-23405.948488131464,-29153.529457702003,-27249.29689736072,-27071.984934412176,-25531.803389160617,-26124.37087225009,-32661.965298221738,-24879.7362552356
x-intercept,5.240803637471499,6.347644742844129,5.864568639624002,6.328074375859642,4.51910569560801,5.068206583068608,6.6724732537803035,6.19303759806129,4.484917208768788,3.6010332911414156,2.654986114261199,4.877677708560353,4.404983646143692,6.450581315313434,4.670344653986203,4.435031528782501,4.156092130786401,4.765490989800981,5.497830567870553,3.295131072280997,4.107977434550154,4.7090425134742935,6.389833238272823,3.8103696973094396,4.095980990824809,5.438321352596934,4.781881410624507,4.726317390315306,4.216110685842518,6.16011435067858,5.698624840615,4.583083447255002
warning_negative_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warning_bad_fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
