,area,centroid,mean_intensity,perimeter,row,column,circularity
1,1990,"(39.506532663316584, 2562.6366834170854)",0.6415351266134593,163.53910524340097,1,48,0.9350174279092038
2,1446,"(38.95712309820193, 216.73029045643153)",0.6264502481490521,139.88225099390854,1,4,0.9286518584744883
3,1553,"(39.28911783644559, 1283.915003219575)",0.6208148681236821,144.71067811865476,1,24,0.9319232835567419
4,1458,"(39.04595336076817, 2402.6351165980795)",0.6172973990693671,139.88225099390857,1,45,0.9363585129016619
5,1394,"(39.97847919655667, 56.62338593974175)",0.6322952710495964,137.0538238691624,1,1,0.9325890752490215
6,1292,"(39.595201238390096, 1762.5270897832818)",0.6281248102956353,131.88225099390854,1,33,0.9334685174914721
7,1197,"(38.80033416875522, 1923.0267335004178)",0.6217340737464577,126.81118318204308,1,36,0.9353817777486682
8,1269,"(39.420015760441295, 1976.5145784081953)",0.6245708370030439,130.22539674441617,1,37,0.9403296010302303
9,1260,"(39.212698412698415, 2189.8119047619048)",0.6154341736694678,131.63961030678928,1,41,0.9137075913622608
10,1202,"(38.83277870216306, 2455.363560732113)",0.6301001598642785,127.63961030678927,1,46,0.9271358885064227
11,1175,"(39.720851063829784, 377.0663829787234)",0.6332315394242803,124.8111831820431,1,7,0.9478524351622633
12,1165,"(39.84892703862661, 1124.155364806867)",0.6224892703862661,124.81118318204308,1,21,0.93978560592684
13,1134,"(39.64902998236332, 1496.3086419753085)",0.605539993775288,122.81118318204308,1,28,0.9448156703063527
14,1185,"(39.59746835443038, 1549.842194092827)",0.6126482998262597,125.39696961966999,1,29,0.9470090552058256
15,1083,"(39.39981532779317, 2349.034164358264)",0.6322271106041678,119.39696961966999,1,44,0.9546665639509145
16,1088,"(39.815257352941174, 110.83088235294117)",0.6436310553633218,119.9827560572969,1,2,0.9497320455563213
17,1106,"(40.08589511754069, 323.63562386980107)",0.6366166719852498,120.81118318204308,1,6,0.952249417435314
18,1186,"(40.14165261382799, 750.743676222597)",0.6234335218066992,127.05382386916237,1,14,0.9232494815367482
19,1086,"(40.15745856353591, 856.9180478821363)",0.6153648936554363,120.5685424949238,1,16,0.9387969444617036
20,1082,"(40.07578558225509, 910.4695009242145)",0.5968866659417925,120.22539674441617,1,17,0.9406860138060147
21,1136,"(40.015845070422536, 1017.5299295774648)",0.6352837613918807,122.5685424949238,1,19,0.9502330944519141
