,area,centroid,mean_intensity,perimeter,row,column,circularity
1,1145,"(40.582532751091705, 2574.4366812227076)",0.6299717441561778,123.9827560572969,1,48,0.9360364875831377
2,1005,"(40.6636815920398, 2414.6985074626864)",0.6159438103599648,115.1543289325507,1,45,0.952391231292814
3,937,"(40.119530416221984, 2467.9679829242264)",0.6254797329817733,111.74011537017762,1,46,0.943042410040012
4,880,"(40.66704545454545, 2361.4068181818184)",0.6200534759358288,108.32590180780451,1,44,0.9423840126056076
5,778,"(40.03213367609254, 2520.2673521850897)",0.6111648772619588,101.49747468305831,1,47,0.9490279153546696
6,857,"(42.0, 2201.2660443407235)",0.6140160615004462,107.1543289325507,1,41,0.9379317648409375
7,794,"(41.55541561712846, 2254.678841309824)",0.6229367313676101,102.91168824543142,1,42,0.9421085840617599
8,883,"(43.11098527746319, 1987.9535673839184)",0.6130615326538317,109.15432893255071,1,37,0.9312979342026687
9,812,"(42.3115763546798, 2041.3940886699506)",0.6190669371196755,104.08326112068524,1,38,0.9418985129318828
10,851,"(42.49471210340776, 2094.7426556991772)",0.6175479827653741,106.08326112068522,1,39,0.9502671146788612
11,847,"(43.69539551357733, 1775.0011806375442)",0.6162650184040559,106.32590180780451,1,33,0.9414887275511871
12,807,"(43.47211895910781, 1828.4014869888476)",0.610865709356853,102.91168824543142,1,34,0.9575335356899752
13,665,"(41.55187969924812, 2307.5187969924814)",0.6113342178976854,93.25483399593904,1,43,0.96092347388828
14,899,"(44.99332591768632, 1296.5828698553948)",0.6222207681737879,108.91168824543144,1,24,0.9524026070048355
15,799,"(44.61952440550689, 1509.4292866082603)",0.6149402439323665,102.91168824543144,1,28,0.9480412577649192
16,806,"(44.38461538461539, 1562.7903225806451)",0.6150391670315769,104.32590180780451,1,29,0.930594777241374
17,786,"(44.00381679389313, 1668.6564885496184)",0.6188893878161953,101.49747468305833,1,31,0.9587865571578023
18,637,"(42.35949764521193, 2148.059654631083)",0.6106750392464678,91.84062043356595,1,40,0.9490294257507796
19,743,"(44.847913862718706, 1350.2193808882907)",0.6154382075845143,99.49747468305833,1,25,0.9431365190234186
20,768,"(44.713541666666664, 1456.47265625)",0.6145884395424838,101.49747468305833,1,27,0.9368296131007533
21,617,"(42.776337115072934, 1934.5299837925445)",0.6066164553341595,90.18376618407356,1,36,0.9533190949694063
22,827,"(46.65296251511487, 764.0169286577993)",0.6137705384451241,104.91168824543142,1,14,0.9442078831515618
23,852,"(46.467136150234744, 817.7194835680751)",0.6118337475835405,106.32590180780451,1,15,0.9470465122474749
24,797,"(45.797992471769135, 976.7728983688833)",0.6159372155386622,102.08326112068524,1,18,0.9610790591178544
25,756,"(45.7989417989418, 1030.042328042328)",0.6106183214026352,100.08326112068524,1,19,0.9484376013974749
26,760,"(45.502631578947366, 1136.6947368421052)",0.6172858617131064,100.08326112068522,1,21,0.9534557897646574
27,706,"(44.74787535410765, 1403.0750708215298)",0.6119313447758707,96.08326112068522,1,26,0.9609905021362434
28,534,"(43.36516853932584, 1881.4325842696628)",0.6016303150473672,83.59797974644667,1,35,0.9601952572403369
29,955,"(48.71623036649215, 71.86701570680628)",0.6244410224822913,112.32590180780451,1,1,0.9511596263083212
30,875,"(48.28342857142857, 125.62171428571429)",0.6205714285714286,108.32590180780451,1,2,0.9370295579885302
31,817,"(47.53733170134639, 444.84088127294984)",0.6205582355341157,104.32590180780451,1,8,0.9432952022409461
32,741,"(46.927125506072876, 657.8191632928475)",0.6181365933687916,98.91168824543142,1,12,0.9517718217560106
33,726,"(46.21900826446281, 870.633608815427)",0.6143628801382813,97.84062043356595,1,16,0.953033328697295
34,729,"(46.25788751714678, 923.764060356653)",0.6174399526614488,98.66904755831213,1,17,0.940969442770753
35,631,"(45.67511885895404, 1083.2488114104597)",0.6039961467946925,92.66904755831213,1,20,0.9233573795028964
36,469,"(43.75479744136461, 1615.2473347547975)",0.593829173460429,79.01219330881975,1,30,0.9440488587166824
37,529,"(43.89224952741021, 1721.8884688090736)",0.6013269580043739,83.59797974644665,1,32,0.9512046649440794
38,822,"(48.09610705596107, 178.7214111922141)",0.6215113782739373,104.32590180780451,1,3,0.9490681226952972
39,767,"(47.70404172099087, 231.83963494132985)",0.6131605184446661,100.66904755831213,1,4,0.9510718083806813
40,719,"(47.717663421418635, 285.4895688456189)",0.6217349805012409,98.08326112068522,1,5,0.9391802696157803
41,769,"(48.02340702210663, 338.32639791937584)",0.6187460159616514,100.91168824543144,1,6,0.9489716972138823
42,698,"(47.28510028653295, 498.40687679083095)",0.6179785381201192,96.66904755831214,1,9,0.9386213041229124
43,745,"(47.60939597315436, 551.1597315436242)",0.6204658507698382,99.25483399593904,1,10,0.950304535653724
44,696,"(46.77442528735632, 711.0560344827586)",0.6165821501014199,96.08326112068522,1,13,0.9473787386498942
45,515,"(45.09708737864078, 1190.5029126213592)",0.6074167142585188,81.59797974644665,1,22,0.9719821297946205
46,496,"(45.34475806451613, 1243.2842741935483)",0.5939832384566729,80.76955262170046,1,23,0.9554240865835703
47,572,"(47.7972027972028, 391.7395104895105)",0.5990607431783903,87.84062043356595,1,7,0.9315691621293448
48,455,"(47.386813186813185, 604.6615384615385)",0.6018185735832793,76.18376618407356,1,11,0.9851364399726492
49,883,"(93.0079275198188, 2468.043035107588)",0.6164590411476029,109.15432893255071,2,46,0.9312979342026687
50,890,"(93.02022471910112, 2521.550561797753)",0.6241639127561137,108.91168824543142,2,47,0.9428679869124623
51,720,"(93.63055555555556, 2361.413888888889)",0.6206808278867102,97.25483399593904,2,44,0.9565770709465284
52,796,"(94.65326633165829, 2201.388190954774)",0.6110503497881565,104.32590180780451,2,41,0.9190489363326722
53,684,"(93.6798245614035, 2307.9780701754385)",0.6150613461758974,95.25483399593904,2,43,0.9473095526472638
54,655,"(95.06870229007633, 2041.2458015267175)",0.6137284837599162,93.25483399593904,2,38,0.9464734968373284
55,662,"(95.03474320241692, 2094.941087613293)",0.6108702091108347,93.25483399593904,2,39,0.9565884807729945
